timestamp,message
1756429097000,"2025-08-29T00:58:17 [AT_GLOBAL       ]I:  Task Server Log - WM5WQ3I53ZHEVDIJE4ILIIZ6K4  (V3.5.3.R2373 ip-10-7-0-186 Linux 4.14.355-280.672.amzn2.x86_64 #1 SMP Tue Aug 12 10:56:08 UTC 2025 x86_64 64-bit, PID: 2209103) started at Fri Aug 29 00:58:17 2025  (at_logger.c:3250)"
1756429097000,2025-08-29T00:58:17 [DATA_STRUCTURE  ]I:  SQLite version is 3.31.1  (at_sqlite.c:178)
1756429097000,2025-08-29T00:58:17 [TARGET_APPLY    ]I:  Lob lookup mutex created successfully  (bulk_apply.c:888)
1756429097000,2025-08-29T00:58:17 [VALIDATOR       ]I:  validation_util_class_initialize  (validation_util.c:85)
1756429097000,2025-08-29T00:58:17 [VALIDATOR       ]I:  Creating Table Def Mutex  (validation_util.c:89)
1756429097000,2025-08-29T00:58:17 [VALIDATOR       ]I:  ==> Success Creating Table Def Mutex  (validation_util.c:97)
1756429097000,2025-08-29T00:58:17 [TASK_MANAGER    ]I:  Execute Request Task 'WM5WQ3I53ZHEVDIJE4ILIIZ6K4' running full load only with flags fresh start with cdcPosition null and stop_at null  (replicationtask.c:993)
1756429097000,2025-08-29T00:58:17 [TASK_MANAGER    ]I:  Task 'WM5WQ3I53ZHEVDIJE4ILIIZ6K4' starting full load only in fresh start mode  (replicationtask.c:1621)
1756429097000,2025-08-29T00:58:17 [TASK_MANAGER    ]I:  Serverless enhanced throughput is Disabled.  (replicationtask.c:1821)
1756429097000,2025-08-29T00:58:17 [VALIDATOR       ]I:  bValidationFreshStart = '1'  (validation_manager.c:170)
1756429097000,2025-08-29T00:58:17 [TASK_MANAGER    ]I:  Task Id: f260aff3-ca84-4fc9-bff8-a0292e40b9a5  (replicationtask.c:3911)
1756429097000,2025-08-29T00:58:17 [TASK_MANAGER    ]I:  LOB support on the task has been disabled  (endpointshell.c:1934)
1756429097000,2025-08-29T00:58:17 [METADATA_MANAGE ]I:  maplongvarcharas = WSTRING  (postgres_endpoint_imp.c:855)
