timestamp,message
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  RetCode: SQL_ERROR  SqlState: 55000 NativeError: 1 Message: ERROR: logical decoding requires wal_level >= logical; Error while executing the query [1022502]  (ar_odbc_stmt.c:2914)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  test_decoding_create_replication_slot(...) - Unable to create slot '5evs7dgtkjacriob_00000005_a564ec8b_9485_417d_bd5f_245f36a08f23' (on create_statement(...) phase). Check if there is any long running transaction in source. [1022502]  (postgres_test_decoding.c:390)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  test_decoding_create_replication_slot(...) - Unable to create slot '5evs7dgtkjacriob_00000005_a564ec8b_9485_417d_bd5f_245f36a08f23' (on execute(...) phase) [1022502]  (postgres_test_decoding.c:391)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Could not find any supported plugins available on source or there was an error with the existing plugin.  (postgres_plugin.c:271)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Could not resolve default plugin [1020490]  (postgres_plugin.c:67)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Could not assign a postgres plugin to use for replication [1020490]  (postgres_endpoint_util.c:414)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Failure in setting Postgres CDC agent control structure [1020490]  (postgres_endpoint_capture.c:132)
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Error executing command [1020490]  (streamcomponent.c:2095)
1756441760000,"2025-08-29T04:29:20 [TASK_MANAGER    ]E:  Stream component failed at subtask 0, component st_0_3HL2KDSIXJACFF7AC44YYMO6JE [1020490]  (subtask.c:1466)"
1756441760000,2025-08-29T04:29:20 [SOURCE_CAPTURE  ]E:  Stream component 'st_0_3HL2KDSIXJACFF7AC44YYMO6JE' terminated [1020490]  (subtask.c:1644)
1756441760000,"2025-08-29T04:29:20 [TASK_MANAGER    ]I:  Task error notification received from subtask 0, thread 0, status 1020490  (replicationtask.c:3444)"
1756441760000,"2025-08-29T04:29:20 [TASK_MANAGER    ]I:  Task - 5EVS7DGTKJACRIOBAWZ63DHENQ is in ERROR state, updating starting status to AR_NOT_APPLICABLE  (repository.c:5483)"
