timestamp,message
1756451232000,"2025-08-29T07:07:12 [AT_GLOBAL       ]I:  Task Server Log - 6U46JHZZXVA2ZILKVGOQLGHJYU  (V3.5.3.R2373 ip-10-7-0-186 Linux 4.14.355-280.672.amzn2.x86_64 #1 SMP Tue Aug 12 10:56:08 UTC 2025 x86_64 64-bit, PID: 2274066) started at Fri Aug 29 07:07:12 2025  (at_logger.c:3250)"
1756451232000,2025-08-29T07:07:12 [DATA_STRUCTURE  ]I:  SQLite version is 3.31.1  (at_sqlite.c:178)
1756451232000,2025-08-29T07:07:12 [TARGET_APPLY    ]I:  Lob lookup mutex created successfully  (bulk_apply.c:888)
1756451232000,2025-08-29T07:07:12 [VALIDATOR       ]I:  validation_util_class_initialize  (validation_util.c:85)
1756451232000,2025-08-29T07:07:12 [VALIDATOR       ]I:  Creating Table Def Mutex  (validation_util.c:89)
1756451232000,2025-08-29T07:07:12 [VALIDATOR       ]I:  ==> Success Creating Table Def Mutex  (validation_util.c:97)
1756451232000,2025-08-29T07:07:12 [TASK_MANAGER    ]I:  Execute Request Task '6U46JHZZXVA2ZILKVGOQLGHJYU' running full load and CDC with flags fresh start with cdcPosition null and stop_at null  (replicationtask.c:993)
1756451232000,2025-08-29T07:07:12 [TASK_MANAGER    ]I:  Task '6U46JHZZXVA2ZILKVGOQLGHJYU' starting full load and CDC in fresh start mode  (replicationtask.c:1621)
1756451232000,2025-08-29T07:07:12 [TASK_MANAGER    ]I:  Serverless enhanced throughput is Disabled.  (replicationtask.c:1821)
1756451232000,"2025-08-29T07:07:12 [TASK_MANAGER    ]I:  The 'DynamoDB' target endpoint does not support ""Batch optimized apply"" mode's ""Preserve transactional integrity"" option. Therefore, ""Allow temporary lapses in transactional integrity"" will be enabled instead.  (replicationtask.c:1887)"
1756451232000,2025-08-29T07:07:12 [VALIDATOR       ]I:  bValidationFreshStart = '1'  (validation_manager.c:170)
1756451232000,2025-08-29T07:07:12 [TASK_MANAGER    ]I:  Task Id: 2335ab79-8903-438b-a8f5-f5aa01508fcc  (replicationtask.c:3911)
1756451232000,2025-08-29T07:07:12 [TASK_MANAGER    ]I:  LOB support on the task has been disabled  (endpointshell.c:1934)
1756451232000,2025-08-29T07:07:12 [METADATA_MANAGE ]I:  maplongvarcharas = WSTRING  (postgres_endpoint_imp.c:855)
1756451232000,2025-08-29T07:07:12 [METADATA_MANAGE ]I:  mapjsonbasclob = FALSE  (postgres_endpoint_imp.c:856)
1756451232000,2025-08-29T07:07:12 [METADATA_MANAGE ]I:  maptextasclob = FALSE  (postgres_endpoint_imp.c:857)
1756451232000,2025-08-29T07:07:12 [METADATA_MANAGE ]I:  Source endpoint 'PostgreSQL Source' is using provider syntax '<default>'  (provider_syntax_manager.c:894)
1756451232000,2025-08-29T07:07:12 [METADATA_MANAGE ]I:  Going to connect to ODBC connection string: Driver={PostgreSQL Unicode(x64)};Server=pgaurora-instance-1.crco8oc6go5j.ap-southeast-1.rds.amazonaws.com;Port=5432;Database=postgres;UseDeclareFetch=1;Fetch=10000;Uid=postgres;  (postgres_endpoint_util.c:262)
